cliente_id;cliente_code;tipo_cliente;sexo;cod_postal;ciudad;estado;estudios;ocupacion;ingresos;tiene_hijos
57;29540;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
58;29541;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
59;29542;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
60;29543;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
61;29544;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
62;29545;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
63;29546;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
64;29547;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
65;29548;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
66;29549;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
67;29550;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
68;29551;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
69;29552;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
70;29553;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
71;29554;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
72;29555;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
73;29556;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
74;29557;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
75;29558;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
76;29559;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
77;29560;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
78;29561;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
79;29562;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
80;29563;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
81;29564;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
82;29565;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
83;29566;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
84;29567;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
85;29568;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
86;29569;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
87;29570;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
88;29571;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
89;29572;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
90;29573;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
91;29574;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
92;29575;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
93;29576;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
94;29577;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
95;29578;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
96;29579;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
97;29580;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
98;29581;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
99;29582;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
100;29583;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
101;29584;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
102;29585;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
103;29586;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
104;29587;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
105;29588;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
106;29589;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
107;29590;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
108;29591;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
109;29592;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
110;29593;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
111;29594;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
112;29595;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
113;29596;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
114;29597;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
115;29598;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
116;29599;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
117;29600;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
118;29601;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
119;29602;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
120;29603;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
121;29604;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
122;29605;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
123;29606;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
124;29607;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
125;29608;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
126;29609;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
127;29610;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
128;29611;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
129;29612;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
130;29613;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
131;29614;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
132;29615;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
133;29616;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
134;29617;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
135;29618;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
136;29619;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
137;29620;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
138;29621;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
139;29622;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
140;29623;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
141;29624;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
142;29625;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
143;29626;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
144;29627;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
145;29628;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
146;29629;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
147;29630;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
148;29631;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
149;29632;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
150;29633;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
151;29634;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
152;29635;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
153;29636;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
154;29637;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
155;29638;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
156;29639;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
157;29640;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
158;29641;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
159;29642;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
160;29643;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
161;29644;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
162;29645;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
163;29646;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
164;29647;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
165;29648;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
166;29649;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
167;29650;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
168;29651;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
169;29652;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
170;29653;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
171;29654;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
172;29655;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
173;29656;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
174;29657;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
175;29658;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
176;29659;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
177;29660;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
178;29661;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
179;29662;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
180;29663;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
181;29664;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
182;29665;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
183;29666;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
184;29667;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
185;29668;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
186;29669;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
187;29670;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
188;29671;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
189;29672;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
190;29673;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
191;29674;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
192;29675;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
193;29676;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
194;29677;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
195;29678;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
196;29679;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
197;29680;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
198;29681;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
199;29682;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
200;29683;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
201;29684;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
202;29685;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
203;29686;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
204;29687;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
205;29688;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
206;29689;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
207;29690;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
208;29691;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
209;29692;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
210;29693;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
211;29694;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
212;29695;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
213;29696;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
214;29697;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
215;29698;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
216;29699;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
217;29700;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
218;29701;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
219;29702;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
220;29703;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
221;29704;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
222;29705;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
223;29706;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
224;29707;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
225;29708;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
226;29709;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
227;29710;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
228;29711;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
229;29712;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
230;29713;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
231;29714;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
232;29715;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
233;29716;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
234;29717;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
235;29718;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
236;29719;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
237;29720;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
238;29721;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
239;29722;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
240;29723;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
241;29724;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
242;29725;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
243;29726;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
244;29727;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
245;29728;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
246;29729;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
247;29730;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
248;29731;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
249;29732;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
250;29733;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
251;29734;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
252;29735;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
253;29736;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
254;29737;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
255;29738;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
256;29739;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
257;29740;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
258;29741;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
259;29742;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
260;29743;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
261;29744;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
262;29745;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
263;29746;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
264;29747;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
265;29748;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
266;29749;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
267;29750;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
268;29751;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
269;29752;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
270;29753;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
271;29754;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
272;29755;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
273;29756;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
274;29757;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
275;29758;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
276;29759;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
277;29760;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
278;29761;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
279;29762;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
280;29763;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
281;29764;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
282;29765;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
283;29766;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
284;29767;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
285;29768;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
286;29769;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
287;29770;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
288;29771;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
289;29772;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
290;29773;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
291;29774;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
292;29775;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
293;29776;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
294;29777;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
295;29778;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
296;29779;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
297;29780;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
298;29781;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
299;29782;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
300;29783;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
301;29784;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
